"
Golang Developer","Binance is the leading global blockchain ecosystem and cryptocurrency infrastructure provider whose suite of financial products includes the world’s largest dig"
"
Специалист по информационной безопасности","Мы в поиске Специалиста по информационной безопасности ( от 3-ех лет опыта работы)"
"
Системный аналитик","Мы в поиске Системного аналитика ( middle)"
"
DevOps Engineer","Мы в поиске DevOps Engineer"
"
IT архитектор","Требуется ИТ архитектор в АО ""Пассажирские перевозки"" для реализации национальной системы по управлению пассажирских перевозок."
"
Java разработчик","Мы в поиске Java разработчик ( Middle/Senior)"
"
QA engineer (middle)","Мы в поиске QA engineer (middle)"
"
Инженер ИБ (2ая линия SOC)","Мы в поиске Инженера ИБ (2ой линии SOC)"
"
Core network engineer","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have 207,000 employ"
"
Account manager","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have 207,000 employ"
"
Supply chain manager","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have 207,000 employ"
"
Tax manager","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have 207,000 employ"
"
Access specialist","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have 207,000 employ"
"
Acceptance TL","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have 207,000 employ"
"
Wireless engineer","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have 207,000 employ"
"
Senior UX/UI Designer","Мы ищем опытного UI/UX дизайнера, который сможет превратить сложные технические задачи в простые и интуитивные интерфейсы."
"
1С аналитик","Разработка концепций автоматизации на платформе 1С."
"
PHP Backend-разработчик","Разработка и поддержка back части платформы, мобильного приложения."
"
Python Backend-разработчик","Разработка и поддержка серверной части приложения."
"
Frontend-разработчик","Разработка и поддержка пользовательского интерфейса нашего продукта."
"
Аналитик","Анализ и моделирование текущих бизнес-процессов предприятия, а также участие в построении процессов по управлению данными в компании."
"
Аналитик","Разработка и анализ бизнес-процессов, GAP-анализ автоматизированных процессов. Знание  DAMA-DMBOK и 1С:ERP. Сертификация 1С:ERP будет преимуществом."
"
Data Steward","Разметка и анализ данных, устранение инцидентов, документирование стандартов и валидация данных для повышения их качества. Опыт с OpenMetadata приветствуется."
"
1С разработчик","Мы ищем опытного специалиста для работы с конфигурациями 1С 8.3, который будет заниматься доработкой, поддержкой и сопровождением существующих конфигураций."
"
Solution Architect","Разработка и согласование стратегии развития архитектуры платформенных решений Data Office"
"
CVM менеджер","Внедрение и развитие систем целевого маркетинга, в части архитектуры, бизнес и системного анализа;"
"
Scrum master (Lifestyle)","Ищем Scrum master-а для работы в команде по автоматизации и оптимизации бизнес-процессов."
"
Junior/Middle DevOps","Сопровождение и развитие текущей инфраструктуры проекта
Поддержка окружений разработки"
"
Senior UX/UI дизайнер (Lifestyle)","Проектировать опыт взаимодействия пользователей с продуктами и процессами в наших цифровых каналах;"
"
React Native Developer","Разработка и внедрение энтерпрайзных решений внутри компании с дальнейшим выходом на рынок b2b;"
"
Agile коуч","Организовывать и фасилитировать события на уровне трайба/подразделения, таких как: планирование, ревью, ретроспективы, чтобы помочь командам достигать целей"
"
Java-разработчик (Middle/Senior)","Компания АО  «Национальные информационные технологии» в поиске Java-разработчиков (Middle/Senior) с опытом от 5 лет."
"
Директора по развитию бизнеса","Мы ищем опытного и целеустремленного Директора по развитию бизнеса"
"
Backend разработчик","Мы ищем талантливого разработчика на стартап в области онлайн-грузоперевозок binY.co"
"
Sales Executive","As a Sales Executive at Glovo you will be a key representative of our company’s sales team, responsible for creating a pipeline and signing up local stores."
"
Business Development Manager","Ищем Business Development Sales-менеджера, кто присоединится к нашей команде IT-разработки, дизайна, продуктовой аналитики и консалтинга"
"
Senior/Lead React Native Software Engineer","We are looking for a self-motivated Senior/Lead React Native Engineer with a passion for innovation and excellence."
"
Senior Test Automation Engineer in .NET","EPAM is looking for a .NET Senior Test Automation Engineer to extend, improve and fix issues of the test framework that interacts with real hardware."
"
Senior Test Automation Engineer in JS","We are looking for a Test Automation Engineer to join our team."
"
Senior Azure DevOps Engineer","We seek Senior Azure DevOps Engineers to join our team in transforming MVP to a highly scalable analytics data platform based on Azure Cloud capabilities."
"
Cloud & DevOps Team Lead/Manager","Join EPAM as a Cloud & DevOps Team Lead/Manager."
"
ABAP Tech Lead","We are looking for ABAP Tech Lead to join our team in Kazakhstan."
"
Java/Node.JS Development Team Lead with SAP Experience","We are seeking a talented Java / Node.js Development Team Lead with proficiency in SAP."
"
Senior/Lead SAP MDG Consultant","We are looking for Senior/Lead SAP MDG Consultant."
"
SAP BTP Developer","We are looking for an SAP Developer to join our tight-knit team and engage in technology-driven activities."
"
Data Scientist","Kaspi.kz  - это место, где необыкновенные люди собираются вместе, чтобы проявить свои лучшие качества, как в работе, так и в жизни."
"
Ассистент-аналитик","В Sergek Academy требуется ассистент-аналитик с перспективами дальнейшего роста в Product/Project Manager."
"
Технический Директор / CTO","АО «Национальные информационные технологии» в поиске Chief technical officer(СТО)"
"
Chemistry Content Specialist","We are looking for a Chemistry Content Specialist for a data scientific curation project."
"
Key Data Engineer (Java / AWS)","We seek a Key Data Engineer with developed analytical and organizational skills to strengthen our team."
"
Senior Node.JS Engineer","We are looking for a very strong Engineer with an extensive background in Node.JS and/or Java."
"
Senior Xamarin Developer","We are looking for an experienced Xamarin Developer to work on the project with a global leader in rental housing with expertise in real estate sectors."
"
Главный-аналитик (системный аналитик)","АО «Национальные информационные технологии» в поиске Системного-аналитика с опытом от 3 лет."
"
Бизнес - аналитик Департамента интегрированных решений","АО «Национальные информационные технологии» в поиске Бизнес-аналитика(junior/middle)"
"
Middle .NET разработчик","Компания АО АО «Национальные информационные технологии» в поиске Middle .NET разработчиков с опытом от 3 лет."
"
Senior iOS Architect","We are looking for a Senior App Architect to design and build the next generation of the mobile frameworks for our world class exchange."
"
Менеджер Офиса PR со знанием английского языка","Ищем креативного и талантливого PR менеджера с навыками копирайтинга на английском языке в офис PR и маркетинга ASTANA HUB."
"
IT Project Manager","Команда Sergek Technologies занимается разработкой программного и аппаратного обеспечения. На данный момент мы в поисках IT Project Manager."
"
GO Developer","Компания Sergek Technologies в поисках GO Developer. Команда Кросс-функциональна, состоит из 18 человек. Работаем по SCRUM. Практикуем code review."
"
Senior Frontend Developer (React)","Компания Sergek Technologies в поисках Senior Frontend developer на один из проектов."
"
Системный аналитик","Команда Sergek Technologies занимается разработкой программного и аппаратного обеспечения. На данный момент в команду Sergek Qore мы ищем Системного аналиткиа."
"
Chief Product Officer","Команда Sergek Technologies занимается разработкой программного и аппаратного обеспечения. На данный момент мы в поисках Chief Product Officer."
"
юрист (Актау)","МЕНЕДЖЕР-ЮРИСТ
Структурное подразделение:
Региональный филиал по Мангистауской области"
"
Главный менеджер департамента экономики и бюджетного планиро","Главный менеджер департамента экономики и бюджетного планирования"
"
Главный менеджер департамента управления рисками","Главный менеджер департамента управления рисками"
"
Менеджер по мониторингу (Туркестан)","МЕНЕДЖЕР ПО МОНИТОРИНГУ
Структурное подразделение:
Региональный филиал по Туркестанской области"
"
Главный менеджер департамента кэптивных фондов","Главный менеджер департамента кэптивных фондов"
"
Главный менеджер по мониторингу (Жезказган)","ГЛАВНЫЙ МЕНЕДЖЕР ПО МОНИТОРИНГУ

Структурное подразделение:
Региональный филиал по области Ұлытау"
"
IOS Developer в SuperApp","SuperApp – крутой продукт, архитектура которого спроектирована с заделом на будущее. Мобильное приложение насчитывает более 4 миллионов пользователей."
"
Scrum master в SuperApp","SuperApp – крутой продукт, архитектура которого спроектирована с заделом на будущее. Приложение насчитывает более 4 миллионов пользователей по всему РК!"
"
React разработчик","Мы в поиске React разработчика на наши проекты"
"
Системный аналитик (OMNI CRM)","Omni-channel – это принцип, по которому удается объединить весь пользовательский опыт в одно окно!"
"
Technical Leader в SuperApp","SuperApp – крутой проект, архитектура которого спроектирована с заделом на будущее. Приложение насчитывает более 4 миллионов пользователей по всему РК!"
"
Менеджер по финансовой поддержке Рег. филиала по г. Алматы","Менеджер по финансовой поддержке Рег. филиала по г. Алматы"
"
Менеджер департамента стратегического анализа и  корп.развит","МЕНЕДЖЕР Департамента стратегического анализа и корпоративного развития"
"
SENIOR EMBEDDED ENGINEER","As an embedded engineer, you will design and develop software for specialized computer systems embedded in various devices and products."
"
Android-разработчик","Kolesa Group — международная IT-компания, строим классифайды для 12,5 миллионов пользователей. Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz | Объявления"
"
Data-аналитик","Kolesa Group — международная IT-компания, строим классифайды для 12,5 миллионов пользователей. Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz"
"
Middle IOS-разработчик","Kolesa Group — международная IT‑компания, строим классифайды для миллионов пользователей.
Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz"
"
Backend-разработчик PHP","Kolesa Group - международная IT-компания, мы создаем объявления для миллионов пользователей.
Наши продукты - это kolesa.kz | krisha.kz | avtoelon.uz"
"
Middle Python Developer","Мы в поиске Python разработчика в команду контента."
"
Data engineer","Команде Data team требуется engineer."
"
Product аналитик","Мы в поисках Product аналитика в продуктовую команду Avia-content."
"
UX/UI designer","Мы в поисках UX/UI дизайнера, который будет работать над продуктом Aviata Railways."
"
Q/A engineer","Мы в поисках Q/A engineer в продуктовую команду Aviata avia направления (B2C, core product)."
"
Product manager","Команде «Aviata» нужен Cильный Product manager!"
"
Project manager","Мы в поисках Project manager в продуктовую команду Customer Service."
"
Junior/Middle Product Designer","Kolesa Group — международная IT‑компания, строим классифайды для миллионов пользователей. Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz"
"
Android-разработчик","Kolesa Group — международная IT-компания, строим классифайды для 12,5 миллионов пользователей. Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz | Объявления"
"
Data-аналитик","Kolesa Group — международная IT-компания, строим классифайды для 12,5 миллионов пользователей. Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz — помогают лю"
"
Backend-разработчик PHP","Kolesa Group — международная IT‑компания, строим классифайды для миллионов пользователей.
Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz | Объявления на Ka"
"
SMM менеджер (telegram, linkedin)","SMM Менеджер (Telegram, LinkedIn)"
"
Android Developer","Разработка приложения на Kotlin Android для Kaspi Pos"
"
Бизнес-аналитик","Краткое описание

Мы ищем в команду Бизнес-аналитика, который готов рисковать и принимать вызовы."
"
Начинающий бухгалтер","Мы ищем в команду начинающего бухгалтера с желанием учиться и освоить профессию."
"
Дизайнер","Мы ищем дизайнера для нашей маркетинговой команды в Citix."
"
SMM менеджер","Мы ищем в команду креативного специалиста по социальной медиа, SMM менеджера"
"
Flutter backend developer","Вашей основной задачей в качестве разработчика Flutter бэкенда будет создание и поддержка серверных компонентов и API для мобильных и веб-приложений с использов"
"
Flutter fronted developer","Вашей основной задачей в качестве разработчика Flutter фронтенда будет разработка и реализация компонентов пользовательского интерфейса для мобильных и веб-прил"
"
Junior/Middle Software Engineer (Customer Process Management","Kaspi.kz – это место, где необыкновенные люди собираются вместе, чтобы проявить свои лучшие качества, как в работе, так и в жизни, потому что Kaspi – это не про"
"
Систменый администратор","Ищем системного администратора Linux (Debian)"
"
Системный аналитик","Крутые продукты, архитектура которых спроектирована с заделом на будущее. Приложения насчитывают более 4 миллионов пользователей по всему РК!"
"
Java Developer в SuperApp (middle+/senior)","SuperApp – крутой продукт, архитектура которого спроектирована с заделом на будущее. Мобильное приложение насчитывает более 4 миллионов пользователей."
"
Креативный продюсер контента","Ищем того, кто присоединится к нашей команде digital-продакшена и будет создавать креативные концепции и работать с лидерами мнений и блогерами"
"
Backend разработчик","Мы ищем талантливого разработчика на стартап в области онлайн-грузоперевозок binY.co"
"
Sales Manager","Мы ищем талантливого и энергичного Sales Manager"
"
Менеджер по продажам","Ищу талантливого менеджера по продажам на стартап в области онлайн-грузоперевозок binY.co"
"
Android- разработчик","В связи с расширением стартапа в области онлайн-грузоперевозок нашей команды binY.co,
 мы ищем опытного мобильного разработчика"
"
IOS - программист","IOS - программист"
"
Android - разработчик","Android - разработчик"
"
Java-разработчик","Java-разработчик создает программы и приложения, обрабатывает данные и проектирует автоматизированные системы."
"
Senior JavaScript Engineer (Angular)","We are currently looking for a Senior JavaScript Software Engineer with knowledge and experience in Angular2+ to join our team."
"
Senior .NET Developer","We are looking for a talented Senior .NET Developer."
"
Lead Java Solution Architect","We are looking for a Lead Java Developer to join a highly collaborative agile team."
"
Python- разработчик","в IT-Холдинге Kazdream открыта вакансия Python-разработчик
от 2-ух лет опыта работы"
"
С-разработчик","В IT-Холдинге Kazdream открыта вакансия С-разработчик. 
От 3-ех лет опыта работы"
"
Java-разработчик","."
"
Core product manager","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices."
"
BSS product manager","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices."
"
Интернет-маркетолог","Ищем интернет-маркетолога на постоянную работу в офисе"
"
Сетевой инженер","ТОО «Центр технической компетенции DEMEU»
https://demeu.com/en/"
"
Системный администратор","Мы ищем системного администратора"
"
Back-end разработчик","Мы ищем квалифицированного Back-end разработчика, который присоединится к нашей ИТ-команде."
"
Front-end разработчик","Мы ищем квалифицированного Front-end разработчика, который присоединится к нашей ИТ-команде."
"
Веб дизайнер с графическими навыками","Мы ищем талантливого Веб дизайнера с графическими навыками"
"
Business Development Manager","Ищем Business Development Sales-менеджера, кто присоединится к нашей команде из 20 специалистов в разных профессиях в продакшене, маркетинге и аналитике, чтобы"
"
Маркетолог","Нужен маркетолог в быстрорастущий блокчейн стартап"
"
Fullstack разработчик мобильного приложения (Middle)","Ищем Fullstack разработчика мобильного приложения (Middle), на данный момент создано приложение, которое необходимо сопровождать и усовершенствовать."
"
Системный администратор (DevOps)","Наши продукты ориентированы на такие решения, как ""умные здания"", ""умные предприятия"", ""умные паркинги"", ""умные фермы"", ""умные города"" и т.д."
"
Специалист по качеству поиска со знанием казахского языка","Удаленно, график гибкий.
Оплата сдельная. 
Задачи: обработка данных, анализ запросов и обеспечение высокого качества поисковой выдачи. 
Всему обучим"
"
Менеджер по B2B продажам (продукт SmartЭКГ)","Если ты хочешь внести вклад в развитие электронного здравоохранения, то приглашаем тебя стать частью нашей растущей команды."
"
IT Analyst","• Анализ, валидация и проверка требований, а также проверка, что формулировки требований являются полными, последовательными, краткими, понятными, отслеживаемым"
"
Центр технической компетенции DEMEU",""
"
PHP Developer","Требуемый опыт работы: 1–3 года

Полная занятость, полный день

Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП"
"
Ищем стажеров на международный форум Digital Bridge 23","Если хочешь присоединиться в качестве стажера в сфере PR и маркетинга и быть со-участником технологического события года, то подавай заявку прямо сейчас!"
"
Full-stack Developer Node.JS / Vue.JS","Основные задачи:
• Разработка нового функционала в существующем проекте, доработка старого;
• Refactoring;
• Участие в обсуждении и принятии архитектурных"
"
PHP Developer","Full stack midlle/senior php разработчик, разработка новых интересных проектов в команде,
поддержание и развитие уже существующих проектов;"
"
Senior Full stack разработчик (Javascript)","Требуемый опыт работы: 3–6 лет
Full Stack разработка нового функционала
Поддержка существующего функционала"
"
Специалист по B2B продажам","Продвижение iot-решений (транспорт и логистика) в B2B/B2G сегменте."
"
Communications Analyst in Astana International Exchange","Должность аналитика по коммуникациям в основном предполагает выполнение задач на оперативном уровне, помогая команде по коммуникациям достичь стратегической цел"
"
Специалист поддержки IoT платформы L1","Наши продукты ориентированы на такие решения, как ""умные здания"", ""умные предприятия"", ""умные паркинги"", ""умные фермы"", ""умные города"" и т.д."
"
Инженер по работе с IoT оборудованием","Наши продукты ориентированы на такие решения, как ""умные здания"", ""умные предприятия"", ""умные паркинги"", ""умные фермы"", ""умные города"" и т.д."
"
Амбассадор DIFX в Казахстане (торговая платформа)","Амбассадор будет отвечать за присутствие DIFX на региональном рынке и продвижение продуктов и услуг компании."
"
Менеджер по продажам","Менеджер по продажам картин и произведений искусства."
"
QA тестировщик","IT компания Wipon находится в поисках QA тестировщика"
"
hph разработчик","IT компания Wipon находится в поиске midlle/ senior php разработчиков"
"
Front-end back-end developer","В команду Future NFT Technology  ищем front-end  back-end разработчиков
Уровень: middle/senior"
"
SMM-стажер","В команду PR и Маркетинга Astana Hub требуется стажер по направлению SMM."
"
IT Project Manager (Middle/Middle+)","КФ «Фонд «El Umiti» в поисках IT Project Manager  уровня (Middle/Middle+)"
"
Fullstack-разработчик, Wordpress","Разработка и настройка веб-сайтов: CMS WordPress разработчик отвечает за создание и настройку веб-сайтов на базе платформы WordPress."
"
Менеджер по продажам","Компания ZAKUPKI.KZ находится в поиске менеджера телефонных продаж, который обладает терпением, эмпатией и настойчивостью."
"
Бизнес-ассистент","На роль личного и бизнес-ассистента, приглашаю к долгосрочному и взаимовыгодному сотрудничеству надежного и компетентного человека, со зрелым мышлением."
"
контент-мейкер, креативщик","Создавать контент в инстаграме, в телеграме и тиктоке. Будем работать над узнаваемостью казахстанских брендов одежды. Рассказывать и показывать в соц сетях."
"
Бухгалтер","Требуется бухгалтер, локация г. Алматы, БЦ Прайм"
"
IT Analyst","•	Анализ, валидация и проверка требований, а также проверка, что формулировки требований являются полными, последовательными, краткими, понятными, отслеживаемым"
"
Руководитель Отдела Продаж","Naimi.kz технологическая компания, основанная в Казахстане с февраля 2015 г.
Сейчас мы в поиске руководителя отдела продаж."
"
Старший менеджер по IT инновациям Nazarbayev University","руководство установкой, настройкой и поддержкой центральных служб высокопроизводительных вычислений;"
"
Программист 1С","В штат требуется программист 1С для сопровождения клиентов по 1С, участие в проектах."
"
СММ-менеджер","Требуется смм-менеджер, который будет заниматься созданием постов -картинок для IG по контент плану (во время выхода ситуативок/инфоповодов)."
"
Менеджер по продажам","Компания занимается разработкой компьютерной программы для стоматологий и клиник. Мы растем и ищем Менеджеров в молодую и дружную команду."
"
Менеджер по продажам","Компания занимается разработкой компьютерной программы для стоматологий и клиник.  Мы растем и ищем Менеджеров в молодую и дружную команду."
"
Менеджер по развитию B2B сервиса","В IT-компанию требуются менеджера по развитию B2B сервиса"
"
Senior Product Manager","В компанию naimi.kz требуется senior prodcut manager c опыт работы не более 5 лет."
"
Системный администратор Linux","Мы ищем системного администратора Linux с опытом кластеризации, готового к релокации в Китай."
"
Lead Generation manager (лидогенератор) в IT-компанию","Ищем специалиста в направлении поиска лидов через Upwork, LinkedIn и др."
"
Менеджер по внедрению CRM","ТОО Проптехсервис Казахстан. Бренд ""MACRO"" – аккредитованная IT-компания, разработчик и интегратор программного обеспечения для строительных компаний СНГ и РФ."
"
Менеджер клиентской поддержки","Менеджер клиентской поддержки - это профессионал, который отвечает за установление и поддержание отношений с клиентами компании."
"
ТикТок стажеры","Если вы увлечены социальными медиа, обладаете острым чувством юмора и стремитесь к тому, чтобы ваши видео стали вирусными, то это идеальная возможность для вас!"
"
Менеджер по работе с клиентами в IT компанию","Менеджер по работе с клиентами в IT компанию"
"
mobile front-end developer","в команду Tastamat (TOO TOOLPAR) ищем front-end разработчика"
"
mobile front-end developer","основное требование angular, ionic3 будет плюсом, но не обязательно, можно будет научиться."
"
Anaplan Business Analyst Trainee","We are looking for young, talented, purposeful people who want to create new products, learn quickly and develop their technical and communication skills."
"
Программист 1С","В компанию Divtech требуется опытный 1C разработчик."
"
IT Analyst","IT Analyst

https://afsa.peopleforce.io/careers/23724"
"
International Assistant","We are looking for young and enthusiastic individuals who are starting their professional journey and prioritize personal development in global startups over im"
"
International Assistant","International Assistant for b2b startup"
"
UX&UI Designer (Remote, Удаленка)","Мы в поисках UX & UI Designer'а на проектную работу. Оплата двух-недельная по факту количества отработанных часов. Часовые ставки от 4,000 до 6,000 тенге."
"
UX&UI Designer (Remote, Удаленка)","Мы в поисках UX & UI Designer'а на проектную работу. Оплата двух-недельная по факту количества отработанных часов. Часовые ставки от 4,000 до 6,000 тенге."
"
стажер","требуется сотрудник для внедрения медицинской информационной системы (обучение специалистов). Необходимо коммуникабельность и обучаемость."
"
Стажер ТикТокер","Если вы увлечены социальными медиа, обладаете острым чувством юмора и стремитесь к тому, чтобы ваши видео стали вирусными, то это идеальная возможность для вас!"
"
Scrum Master - Associate/Senior Associate IT Division","Associate/Senior Associate IT Division (Scrum Master)"
"
Офис-менеджер","NAUMEN — российская ИТ-компания для создания уюта в коворкинге, помощи сотрудникам и организации работы офиса ищем Офис-менеджера."
"
Ведущий разработчик (backend, senior)","Корпоративный фонд Международный технопарк IT-стартапов «Astana Hub» в поисках ведущего backend разработчика."
"
Стажировки в ИТ компаниях Центральной Азии (AI/ML/Android)","Участники сообщества Google Developers могут пройти бесплатное обучение по Google Cloud и Machine learning на лабораторных работах и кейсах, получить стажировки"
"
Проектный менеджер","MACRO – аккредитованная IT-компания, разработчик и интегратор программного обеспечения для строительных компаний СНГ и РФ.

Наша компания растёт быстрыми темпам"
"
Менеджер по продажам ИТ-продуктов","Компания разработчик программного обеспечения ищет на удаленную работу специалиста с опытом продаж ИТ продуктов от 1-2 лет"
"
Менеджер по работе с клиентами (продажа/поддержка)","Срочно требуется менеджер по работе с клиентами в ИТ компанию по продаже, внедрению и сопровождению ПО."
"
[В архиве] UX аналитик (Middle/Senior)","Astana Hub объявляет поиск UX аналитика"
"
Разработчик (frontend, middle)","Astana Hub для разработки процессов геймификации объявляет поиск frontend разработчика."
"
Ведущий разработчик (frontend, senior)","Astana Hub для разработки процессов геймификации объявляет поиск ведущего frontend разработчика."
"
[В архиве] Ведущий разработчик (backend, senior)","Astana Hub для разработки процессов геймификации объявляет поиск ведущего backend разработчика."
"
Руководитель отдела продаж","В IT- стартап требуется Руководитель продаж"
"
Ведущий менеджер по продажам","Хантер, имеющий опыт переговоров и руководством отделом по продажам, и который имеет большое желание развиваться внутри перспективного стартапа."
"
Региональный менеджер","В динамично развивающийся стартап,  требуется региональный менеджер, с функцией продажника, желательно девушка. Резюме с фото отправлять на as@mydatacoin.io"
"
DevOps Engineer","We are looking for a DevOps Engineer to work on a project with our client in Singapore. The project involves building and maintaining highly available, scalable"
"
Full Stack .NET разработчик","Требуется middle/senior разработчик"
"
Менеджер по развитию бизнеса","Enlighted - разработчик программного обеспечения в поисках менеджера по развитию бизнеса. Продукт: FoodPort - платформа-конструктор маркетплейсов"
"
Специалист по анализу данных (Data Scientist)","Компания ITbyDesign ищет в свою команду специалиста по анализу данных, обладающего навыками машинного обучения, NLP и нейронными сетями"
"
Программист 1С","Ищем в компанию опытного программиста 1С."
"
Middle/Senior Back-end разработчик","Ищем Middle/Senior Backend разработчика C# на проектную удаленную работу в компанию Dinio."
"
Android Developer (Kotlin) - Squares","Job Title: Android Developer (Kotlin) - Squares

Fully remote, full-time position"
"
iOS Developer (Swift)","iOS Developer (Swift)"
"
Full-stack developer / Team lead","Position: Full-stack Developer / Team Lead"
"
Middle Mobile-разработчик","Требуется Middle Mobile-разработчик"
"
Middle Frontend-разработчик","Требуется Middle Frontend-разработчик"
"
Middle Backend-разработчик","В команду требуется Middle Backend-разработчик"
"
PCN Network Engineer","Be involved and support projects related to PCN Infrastructure Support team"
"
Head of Marketing","Head of Marketing at Squares"
"
Director of Operations","Director of Operations at Squares - leading Affiliation department and serving as the CEO's right-hand for all operational matters."
"
Director of Operations","We are seeking Director of Operations to join Squares - leading Affiliation department and serving as the CEO's right-hand for operational matters"
"
Intern (current student or recent graduate of MBA, Masters)","Interns aspiring to get exposure to Kazakhstani and global venture capital ecosystem"
"
Middle ios разработчик","В нашу команду ищем Middle ios разработчика."
"
Менеджер по маркетингу и PR","Мы быстро растем, поэтому сейчас в поиске сотрудника в команду маркетолога."
"
Middle android разработчик","Нам нужен Middle Android Developer, который знает все о создании Android приложений."
"
Аккаунт-менеджер","Компания по автоматизации бизнес-процессов в поисках аккаунт-менеджера."
"
Middle/Senior Back-end разработчик","Ищем Middle/Senior Backend разработчика C# на проектную удаленную работу в стартап Dinio."
"
Координатор проектов","Добрый день, мы большая и надежная сервисная ИТ компания IT Support Group."
"
Java разработчик","В Информационно-вычислительный центр Бюро Национальной статистики требуются java-разработчики"
"
Программист С++",""
"
PHP Разработчик (1C Bitrix)","Ищем PHP разработчика на постоянную работу. Для работы над большим сайтом на 1C Bitrix. Офис в Астане на левом берегу. Возможно парт тайм."
"
Маркетолог","Ищем активного и креативного маркетолога"
"
PR-менеджер","PR-специалист в IT-отрасли. Выстраивание коммуникационной стратегии, налаживание сетки инфопартнеров, формирование репутации и имиджа Tech Garden."
"
Event-менеджер","Event менеджер в IT отрасли: от выбора места проведения и подготовки бюджета до координации поставщиков и управления командой."
"
Специалист по интернет-маркетингу","Ищем интернет-маркетолога, которому доверим интересно рассказывать о деятельности, людях и проектах Tech Garden."
"
Копирайтер","Tech Garden ищет копирайтера с опытом работы в сфере IT, который будет создавать классные и понятные тексты о нас и наших проектах."
"
Контент-менеджер","В Tech Garden открыта вакансия контент-менеджера."
"
программист front end","Разработка новых функций и улучшение существующего пользовательского интерфейса;
Создание высококачественного кода, соблюдение стандартов и методов разработки."
"
программист back end","разработка и поддержка проектов на основе веб-технологий;
оптимизация работы сервисов;
разработка новых и доработка существующих компонентов и модулей;
рефактор"
"
Менеджер по продажам","В рамках развития IoT платформы наша компания ищет сотрудника на должность Менеджер по продажам"
"
Маркетолог","В рамках развития IoT платформы наша компания ищет сотрудника на должность маркетолога с опытом работы и положительно закрытыми кейсами"
"
менеджер по продажам","В нашу команду требуется менеджер активных продаж для внедрений Битрикс24 (CRM система)."
"
Разработчик Front-end React Native Developer middle","- React Native + redux


- React N, умение работать с REST API в приложении
- Опыт работы с GraphQL будет плюсом, даже если вы не использовали его в продакшене"
"
Маркетолог в IT стартап CloudReports.kz","Мы ищем талантливого специалиста по маркетингу, который смог бы помочь нам в продвижении нашего продукта, и в перспективе возглавил наш отдел маркетинга."
"
Business development manager (B2B)","Мы ищем человека на позицию BDM, который станет частью нашей команды и вместе с нами будет расширять присутствие на рынке."
"
Full Stack Разработчик (.NET Core)","Требуется Full Stack Разработчик (.NET Core) в АО НИТ."
"
QA-тестировщик","Naimi - маркетплейс для поиска специалистов по бытовым и офисным услугам. Более 7 лет мы ведем разработку мобильного приложения и сайта."
"
SMM-менеджер","Naimi - маркетплейс для поиска специалистов по бытовым и офисным услугам. Более 7 лет мы ведем разработку мобильного приложения и сайта."
"
Менеджер службы поддержки","Naimi - маркетплейс для поиска специалистов по бытовым и офисным услугам. Более 7 лет мы ведем разработку мобильного приложения и сайта."
"
Системный администратор","Разработка, производство, ремонт роботизированной техники, запасных частей,
комплектующих изделий и приборов к ним."
"
Менеджер-координатор","Основная задача координатора – организация полного взаимодействия клиента и компании, максимальное удовлетворение нужд клиента в рамках договоров сопровождения"
"
Business Developer","Ищем в нашу дружную команду: 
📌Менеджера по развитию бизнеса (Business Development Manager)"
"
Digital Marketing Manager","Есть вакансия коммуникационного менеджера (маркетолог) в ИТ школу  Jusan Singularity🚀
📍г. Астана"
"
Manager of IT Innovations Office at Nazarbayev University","Experience in one of the fields: Database design / SQL; C++ , C#, Java programming; Software development; RPA; Business process automation; Back-end development"
"
HR manager/ generalist","В активно развивающийся IT startup нужен HR manager с опытом работы в рекрутинге."
"
Technical support engineer L2-L3 (Thai project)","The international team of Weigandt Consulting invites support engineers to a Thailand project on migration and support of Oracle solutions."
"
Technical support engineer L2-L3 (Thai project)","The international team of Weigandt Consulting invites support engineers to a Thailand project on migration and support of Oracle solutions."
"
Middle Backend Developer (Node.JS)","We are looking for a Node.js developer to join the Tonti Laguna Mobile team, who will be able to develop the server side of our applications, which includes aut"
